time,rope0_mag,rope0_fx,rope0_fy,rope0_fz,rope1_mag,rope1_fx,rope1_fy,rope1_fz,rope2_mag,rope2_fx,rope2_fy,rope2_fz
1.390000,1.591956,-0.321353,0.005394,-1.559175,3.017830,0.551223,-0.948463,-2.811382,2.061463,0.250911,0.430485,-2.000339
1.400000,1.692585,-0.351701,-0.001463,-1.655641,3.006031,0.557061,-0.957344,-2.794529,2.367266,0.312798,0.532992,-2.285175
1.410000,1.798017,-0.391408,-0.007974,-1.754879,2.985246,0.564012,-0.969777,-2.766427,2.481281,0.348658,0.592440,-2.384158
1.420000,1.880114,-0.431941,-0.013782,-1.829773,2.971728,0.572876,-0.986648,-2.743995,2.608110,0.380804,0.646570,-2.497834
1.430000,1.945400,-0.470399,-0.018692,-1.887579,2.983165,0.584676,-1.009098,-2.745751,2.825130,0.418861,0.711275,-2.701852
1.440000,2.225213,-0.560190,-0.025269,-2.153397,2.997021,0.592709,-1.024904,-2.753253,3.102289,0.457514,0.777414,-2.968249
1.450000,2.520935,-0.649295,-0.031865,-2.435676,2.978188,0.587983,-1.017892,-2.736380,3.344227,0.483083,0.822073,-3.205415
1.460000,2.688674,-0.693407,-0.036394,-2.597466,2.974510,0.578718,-1.001862,-2.740267,3.484492,0.489464,0.835541,-3.347235
1.470000,2.881636,-0.728329,-0.040629,-2.787780,2.948001,0.557210,-0.963342,-2.729872,3.598322,0.492314,0.845181,-3.462833
1.480000,3.126867,-0.761176,-0.044790,-3.032475,2.843762,0.514562,-0.887180,-2.652380,3.820294,0.513068,0.888384,-3.679970
1.490000,3.357423,-0.780354,-0.047470,-3.265132,2.764460,0.472080,-0.810632,-2.600434,4.118591,0.547417,0.958254,-3.967981
1.500000,3.566358,-0.794422,-0.047888,-3.476422,2.758516,0.438966,-0.749851,-2.618099,4.242265,0.558515,0.989369,-4.087300
1.510000,3.805873,-0.825442,-0.045961,-3.714997,2.717566,0.398928,-0.677345,-2.601389,4.070618,0.524252,0.939327,-3.925908
1.520000,4.043667,-0.872055,-0.040541,-3.948305,2.659169,0.357851,-0.603687,-2.564895,3.817226,0.468579,0.848156,-3.692191
1.530000,4.132916,-0.899036,-0.030313,-4.033834,2.559734,0.315395,-0.528722,-2.484596,3.765661,0.424999,0.776203,-3.660203
1.540000,4.021446,-0.880295,-0.016926,-3.923878,2.456583,0.278440,-0.464213,-2.396200,3.694311,0.367403,0.676594,-3.613193
1.550000,3.769624,-0.813775,-0.003561,-3.680737,2.526361,0.266405,-0.442355,-2.473025,3.338815,0.280120,0.520398,-3.286092
1.560000,3.684571,-0.759489,0.008030,-3.605437,2.750946,0.275038,-0.455773,-2.698950,2.558299,0.173922,0.326793,-2.531373
